date,price,volume,afterUpdate
2022-01-21,175.552,74,0
2022-01-22,149.431,82,0
2022-01-23,134.753,71,0
2022-01-24,116.327,58,0
2022-01-25,111.96,44,0
2022-01-26,110.171,70,0
2022-01-27,115.078,55,0
2022-01-28,111.929,70,0
2022-01-29,100.209,57,0
2022-01-30,87.758,50,0
2022-01-31,81.98,77,0
2022-02-01,82.7,74,0
2022-02-02,88.321,46,0
2022-02-03,92.283,61,0
2022-02-04,90.059,69,0
2022-02-05,85.723,55,0
2022-02-06,89.981,72,0
2022-02-07,88.501,41,0
2022-02-08,88.544,52,0
2022-02-09,81.445,62,0
2022-02-10,75.814,64,0
2022-02-11,78.814,56,0
2022-02-12,80.988,63,0
2022-02-13,83.374,55,0
2022-02-14,77.126,52,0
2022-02-15,81.266,50,0
2022-02-16,81.555,50,0
2022-02-17,81.884,67,0
2022-02-18,80.063,62,0
2022-02-19,79.3,77,0
2022-02-20,81.288,72,0
2022-02-21,81.249,42,0
2022-02-22,81.567,58,0
2022-02-23,83.867,56,0
2022-02-24,83.552,63,0
2022-02-25,82.925,55,0
2022-02-26,80.563,53,0
2022-02-27,82.357,68,0
2022-02-28,81.919,60,0
2022-03-01,85.209,52,0
2022-03-02,82.464,53,0
2022-03-03,83.361,48,0
2022-03-04,83.213,63,0
2022-03-05,86.955,55,0
2022-03-06,87.199,81,0
2022-03-07,88.784,51,0
2022-03-08,85.651,65,0
2022-03-09,83.878,66,0
2022-03-10,85.329,57,0
2022-03-11,89.776,67,0
2022-03-12,92.975,53,0
2022-03-13,91.918,68,0
2022-03-14,87.185,52,0
2022-03-15,94.613,56,0
2022-03-16,87.864,49,0
2022-03-17,87.16,55,0
2022-03-18,85.473,64,0
2022-03-19,87.077,54,0
2022-03-20,87.568,64,0
2022-03-21,86.428,74,0
2022-03-22,84.175,61,0
2022-03-23,81.933,86,0
2022-03-24,82.028,73,0
2022-03-25,83.252,77,0
2022-03-26,82.563,80,0
2022-03-27,82.504,58,0
2022-03-28,81.457,53,0
2022-03-29,78.326,72,0
2022-03-30,74.968,74,0
2022-03-31,74.139,71,0
2022-04-01,73.282,77,0
2022-04-02,75.598,65,0
2022-04-03,77.141,67,0
2022-04-04,79.534,64,0
2022-04-05,79.724,62,0
2022-04-06,79.675,47,0
2022-04-07,79.6,64,0
