date,price,volume,afterUpdate
2022-01-21,322.531,65,0
2022-01-22,233.625,43,0
2022-01-23,216.428,33,0
2022-01-24,195.671,32,0
2022-01-25,179.423,39,0
2022-01-26,170.437,30,0
2022-01-27,180.836,31,0
2022-01-28,188.807,29,0
2022-01-29,165.672,37,0
2022-01-30,157.225,38,0
2022-01-31,151.888,25,0
2022-02-01,154.516,30,0
2022-02-02,164.459,30,0
2022-02-03,176.153,26,0
2022-02-04,174.809,30,0
2022-02-05,164.278,28,0
2022-02-06,167.949,25,0
2022-02-07,160.595,25,0
2022-02-08,150.837,48,0
2022-02-09,128.581,44,0
2022-02-10,141.516,26,0
2022-02-11,138.389,38,0
2022-02-12,137.511,30,0
2022-02-13,144.634,27,0
2022-02-14,138.785,31,0
2022-02-15,134.721,40,0
2022-02-16,138.023,26,0
2022-02-17,139.448,37,0
2022-02-18,142.448,29,0
2022-02-19,136.219,41,0
2022-02-20,140.482,35,0
2022-02-21,145.091,32,0
2022-02-22,138.79,32,0
2022-02-23,143.427,32,0
2022-02-24,144.089,30,0
2022-02-25,145.988,23,0
2022-02-26,142.215,36,0
2022-02-27,144.88,41,0
2022-02-28,143.586,36,0
2022-03-01,143.527,29,0
2022-03-02,142.62,28,0
2022-03-03,142.838,24,0
2022-03-04,146.471,40,0
2022-03-05,150.773,28,0
2022-03-06,152.342,48,0
2022-03-07,156.577,31,0
2022-03-08,161.946,28,0
2022-03-09,155.929,19,0
2022-03-10,154.482,29,0
2022-03-11,156.489,23,0
2022-03-12,158.076,34,0
2022-03-13,160.284,35,0
2022-03-14,163.209,28,0
2022-03-15,160.852,26,0
2022-03-16,154.365,23,0
2022-03-17,160.073,19,0
2022-03-18,159.92,36,0
2022-03-19,157.997,34,0
2022-03-20,163.216,31,0
2022-03-21,159.989,31,0
2022-03-22,160.618,23,0
2022-03-23,158.876,31,0
2022-03-24,155.939,28,0
2022-03-25,154.101,21,0
2022-03-26,153.297,41,0
2022-03-27,156.582,34,0
2022-03-28,152.363,34,0
2022-03-29,144.74,42,0
2022-03-30,140.783,29,0
2022-03-31,138.966,19,0
2022-04-01,135.739,48,0
2022-04-02,137.622,39,0
2022-04-03,141.011,34,0
2022-04-04,141.391,26,0
2022-04-05,143.273,26,0
2022-04-06,144.184,28,0
2022-04-07,139.314,18,0
2022-04-08,143.73,45,0
2022-04-09,146.742,19,0
2022-04-10,145.629,27,0
2022-04-11,144.872,15,0
2022-04-12,144.291,18,0
2022-04-13,147.582,29,0
2022-04-14,145.913,29,0
2022-04-15,148.883,23,0
2022-04-16,147.705,17,0
2022-04-17,143.904,37,0
2022-04-18,145.426,27,0
2022-04-19,150.646,18,0
2022-04-20,144.984,25,0
2022-04-21,143.617,18,0
2022-04-22,134.339,28,0
2022-04-23,151.315,23,0
2022-04-24,145.702,28,0
2022-04-25,145.15,24,0
2022-04-26,145.212,33,0
2022-04-27,133.225,23,0
2022-04-28,143.566,29,0
2022-04-29,137.401,27,0
2022-04-30,137.774,37,0
2022-05-01,139.965,27,0
2022-05-02,138.902,30,0
2022-05-03,137.872,19,0
2022-05-04,127.194,40,0
2022-05-05,119.793,45,0
2022-05-06,113.814,49,0
2022-05-07,118.139,29,0
2022-05-08,113.767,40,0
2022-05-09,104.144,42,0
2022-05-10,114.772,32,0
2022-05-11,115.587,22,0
2022-05-12,123.675,21,0
2022-05-13,125.67,27,0
2022-05-14,120.632,27,0
2022-05-15,120.748,32,0
2022-05-16,118.099,19,0
2022-05-17,117.951,28,0
2022-05-18,119.938,25,0
2022-05-19,111.79,30,0
2022-05-20,113.894,33,0
2022-05-21,107.942,24,0
2022-05-22,108.825,32,0
2022-05-23,112.65,30,0
2022-05-24,102.671,31,0
2022-05-25,109.328,30,0
2022-05-26,102.582,36,0
2022-05-27,101.153,32,0
2022-05-28,95.621,24,0
2022-05-29,100.444,28,0
2022-05-30,104.548,33,0
2022-05-31,107.77,36,0
2022-06-01,106.472,29,0
2022-06-02,107.421,29,0
2022-06-03,110.319,25,0
2022-06-04,109.311,32,0
2022-06-05,104.542,46,0
2022-06-06,106.2,23,0
2022-06-07,106.209,25,0
2022-06-08,105.791,37,0
2022-06-09,102.419,40,0
2022-06-10,101.571,42,0
2022-06-11,100.761,21,0
2022-06-12,100.534,40,0
2022-06-13,98.094,32,0
2022-06-14,100.853,38,0
2022-06-15,95.752,40,0
