date,price,volume,afterUpdate
2021-09-24,278.351,1,0
2021-09-25,249.495,2,0
2021-09-26,308.902,1,0
2021-09-29,1580.38,1,0
2021-10-06,776.163,1,0
2021-10-11,321.993,1,0
2021-10-12,339.787,1,0
2021-10-15,318.676,2,0
2021-10-16,393.2,1,0
2021-10-18,333.399,1,0
2021-10-19,442.117,2,0
2021-10-22,280.491,1,0
2021-10-25,415.55,1,0
2021-11-06,226.21,1,0
2021-11-09,226.145,1,0
2021-11-11,226.292,1,0
2021-11-14,306.549,1,0
2021-11-17,224.376,1,0
2021-11-18,289.305,1,0
2021-11-19,277.08,1,0
2021-11-24,232.487,3,0
2021-11-26,232.237,1,0
2021-11-29,287.146,1,0
2021-12-02,328.62,1,0
2021-12-13,244.173,1,0
2021-12-24,230.0,1,0
2021-12-26,295.693,2,0
2022-01-04,259.432,1,0
2022-01-07,435.047,1,0
2022-01-19,316.25,1,0
2022-01-23,379.5,1,0
2022-01-24,328.587,2,0
2022-01-25,381.16,1,0
2022-01-31,302.782,1,0
2022-02-01,286.404,1,0
2022-02-02,275.198,1,0
2022-02-03,351.207,1,0
2022-02-05,353.326,1,0
2022-02-07,354.998,1,0
2022-02-08,351.159,1,0
2022-02-13,337.502,2,0
2022-02-14,380.145,1,0
2022-02-21,412.168,1,0
2022-02-26,448.492,1,0
2022-02-28,288.339,1,0
2022-03-09,403.216,1,0
2022-03-12,399.983,1,0
2022-03-15,364.987,1,0
2022-03-19,367.946,1,0
2022-03-23,504.607,1,0
2022-03-28,399.993,1,0
2022-04-03,326.015,1,0
2022-04-04,402.241,1,0
2022-04-09,295.812,1,0
2022-04-14,300.595,1,0
2022-05-01,313.445,1,0
2022-05-06,403.91,1,0
2022-05-12,308.648,1,0
2022-05-13,392.856,1,0
2022-05-14,393.03,1,0
2022-05-21,372.093,1,0
2022-06-02,540.12,1,0
2022-06-12,351.624,1,0
2022-06-14,355.363,1,0
2022-06-18,333.5,1,0
2022-06-20,376.617,1,0
2022-06-27,294.0,1,0
2022-07-03,359.642,1,0
2022-07-05,269.992,2,0
2022-07-06,231.883,1,0
2022-07-09,301.48,2,0
2022-07-16,311.41,1,0
2022-07-22,327.341,1,0
2022-07-23,301.506,2,0
2022-07-25,550.012,1,0
2022-07-30,361.76,1,0
2022-08-01,299.233,1,0
2022-08-04,293.255,2,0
2022-08-08,288.47,1,0
2022-08-12,320.016,1,0
2022-08-13,263.54,1,0
2022-08-17,337.49,1,0
2022-08-18,344.988,1,0
2022-08-23,265.599,1,0
2022-08-26,321.997,1,0
2022-08-28,261.667,1,0
2022-08-29,328.604,1,0
2022-08-30,325.957,1,0
2022-09-03,371.656,1,0
2022-09-04,375.685,2,0
2022-09-05,357.463,2,0
2022-09-06,281.554,1,0
2022-09-09,289.35,1,0
2022-09-12,372.823,1,0
2022-09-17,333.694,2,0
2022-09-21,261.454,1,0
2022-09-26,249.866,1,0
2022-09-27,277.785,1,0
2022-09-28,252.406,1,0
2022-10-06,352.04,1,0
2022-10-07,392.431,1,0
2022-10-08,379.268,1,0
2022-10-20,399.534,1,0
2022-10-22,306.208,1,0
2022-10-25,265.11,1,0
2022-10-29,332.48,1,0
2022-10-30,249.95,1,0
2022-11-12,273.471,2,0
2022-11-14,302.173,1,0
2022-11-27,332.689,1,0
2022-11-30,216.239,2,0
2022-12-06,211.028,1,0
2022-12-16,300.0,1,0
2022-12-17,268.553,1,0
2022-12-18,249.321,1,0
2022-12-20,333.305,1,0
2023-01-02,399.015,1,0
2023-01-05,275.544,1,0
2023-01-13,323.092,1,0
2023-01-17,352.093,1,0
2023-01-18,257.341,1,0
2023-01-19,322.934,1,0
2023-01-20,260.428,1,0
2023-01-21,369.18,1,0
2023-01-23,261.046,1,0
2023-01-26,261.826,1,0
2023-01-28,355.469,1,0
2023-01-31,272.297,1,0
2023-02-03,356.277,1,0
2023-02-04,560.14,1,0
2023-02-05,272.49,1,0
2023-02-06,330.482,1,0
2023-02-07,272.61,1,0
2023-02-15,284.337,1,0
2023-02-17,320.006,1,0
2023-02-20,259.99,1,0
2023-02-25,288.719,2,0
2023-03-02,316.365,1,0
2023-03-03,320.933,2,0
2023-03-04,270.007,1,0
2023-03-07,322.0,1,0
2023-03-10,305.47,1,0
2023-03-13,273.814,1,0
2023-03-18,335.36,1,0
2023-03-23,416.171,4,0
2023-03-24,475.009,1,0
2023-03-26,450.603,2,0
2023-03-28,437.501,2,0
2023-03-29,448.5,1,0
2023-03-30,363.78,1,0
2023-04-01,678.82,1,0
2023-04-04,427.8,1,0
2023-04-07,534.095,1,0
2023-04-08,606.926,1,0
2023-04-14,589.786,3,0
2023-04-16,665.084,2,0
2023-04-18,551.97,1,0
2023-04-19,535.99,1,0
2023-04-21,729.307,1,0
2023-04-22,693.0,1,0
2023-04-23,569.1,1,0
2023-04-27,719.994,1,0
2023-04-28,726.8,1,0
2023-05-01,620.1,2,0
2023-05-05,545.38,1,0
2023-05-16,575.0,1,0
2023-05-17,556.701,1,0
2023-05-21,493.492,1,0
2023-05-23,425.5,1,0
2023-05-27,493.75,1,0
2023-05-29,417.256,2,0
2023-05-30,504.74,1,0
2023-06-01,471.18,1,0
2023-06-04,564.96,1,0
2023-06-10,527.8,2,0
2023-06-16,590.996,1,0
2023-06-21,529.501,2,0
2023-06-24,504.331,4,0
2023-06-25,435.477,1,0
2023-06-28,455.239,1,0
2023-06-30,505.4,1,0
2023-07-02,422.721,1,0
2023-07-04,372.86,1,0
2023-07-06,573.42,1,0
2023-07-10,582.852,1,0
2023-07-13,439.304,1,0
2023-07-14,599.99,1,0
2023-07-22,412.513,1,0
2023-07-26,584.157,1,0
2023-07-28,545.23,1,0
2023-08-06,546.636,1,0
2023-08-08,345.0,1,0
2023-08-13,540.7,1,0
2023-08-25,391.0,1,0
2023-09-02,559.55,1,0
2023-09-08,555.001,1,0
2023-09-10,460.0,1,0
2023-09-12,457.989,1,0
2023-09-15,540.55,1,0
2023-09-16,559.787,1,0
2023-09-22,584.97,1,0
2023-09-24,538.475,1,0
2023-09-25,439.226,1,0
2023-09-26,549.089,2,0
2023-09-28,550.0,1,0
2023-09-29,562.04,1,0
2023-09-30,550.218,2,0
2023-10-01,600.011,1,0
2023-10-08,499.53,1,0
2023-10-09,686.24,1,0
2023-10-14,520.77,1,0
2023-10-16,652.451,2,0
2023-10-19,562.097,1,0
2023-10-20,528.65,1,0
2023-10-26,531.541,1,0
2023-10-28,640.69,1,0
2023-10-31,580.251,2,0
2023-11-03,670.005,2,0
2023-11-05,625.008,1,0
2023-11-11,630.005,1,0
2023-11-12,649.011,1,0
2023-11-13,524.068,1,0
2023-11-15,659.53,1,0
2023-12-04,498.21,1,0
2023-12-13,552.002,1,0
2023-12-21,728.66,1,0
2024-01-20,575.0,1,0
2024-02-04,568.487,1,0
2024-02-08,565.0,1,0
2024-02-09,575.84,1,0
2024-02-13,495.0,1,0
2024-02-14,449.249,1,0
2024-02-16,436.67,1,0
2024-02-18,431.31,1,0
2024-02-19,512.857,2,0
2024-02-20,511.004,1,0
2024-02-21,520.576,1,0
