date,price,volume,afterUpdate
2021-09-23,477.649,5,0
2021-09-24,600.012,1,0
2021-09-25,558.124,6,0
2021-09-26,628.444,5,0
2021-09-27,598.007,1,0
2021-09-28,666.224,2,0
2021-09-29,589.86,2,0
2021-09-30,549.275,2,0
2021-10-01,557.119,3,0
2021-10-02,705.773,3,0
2021-10-03,776.97,1,0
2021-10-05,615.238,2,0
2021-10-07,794.337,3,0
2021-10-09,691.1,2,0
2021-10-11,689.322,3,0
2021-10-12,631.7,1,0
2021-10-13,735.08,1,0
2021-10-14,763.383,3,0
2021-10-15,639.68,1,0
2021-10-16,793.687,2,0
2021-10-17,683.806,2,0
2021-10-18,642.7,2,0
2021-10-19,613.73,2,0
2021-10-20,625.156,1,0
2021-10-22,580.0,1,0
2021-10-23,586.0,1,0
2021-10-24,606.534,1,0
2021-10-25,602.17,1,0
2021-10-26,602.1,1,0
2021-10-28,602.36,2,0
2021-10-30,601.11,2,0
2021-10-31,687.315,4,0
2021-11-01,614.381,2,0
2021-11-02,700.76,1,0
2021-11-03,699.991,1,0
2021-11-04,611.0,1,0
2021-11-05,645.743,2,0
2021-11-06,639.274,3,0
2021-11-07,621.95,4,0
2021-11-09,646.153,4,0
2021-11-10,602.015,2,0
2021-11-11,720.249,1,0
2021-11-13,665.994,2,0
2021-11-14,602.3,1,0
2021-11-15,658.955,2,0
2021-11-17,741.09,1,0
2021-11-18,605.949,2,0
2021-11-19,640.813,3,0
2021-11-22,560.867,1,0
2021-11-23,654.005,1,0
2021-11-25,562.19,1,0
2021-11-27,648.442,2,0
2021-11-28,705.59,1,0
2021-11-29,731.245,2,0
2021-12-02,671.153,2,0
2021-12-07,663.55,1,0
2021-12-09,749.795,1,0
2021-12-10,670.59,1,0
2021-12-13,673.047,1,0
2021-12-14,767.059,3,0
2021-12-15,664.87,1,0
2021-12-16,672.79,1,0
2021-12-18,673.584,2,0
2021-12-19,656.9,1,0
2021-12-20,645.557,3,0
2021-12-22,631.61,1,0
2021-12-24,687.963,1,0
2021-12-25,706.1,1,0
2021-12-26,690.14,1,0
2021-12-29,692.01,1,0
2021-12-31,873.777,2,0
2022-01-02,763.741,3,0
2022-01-03,742.911,2,0
2022-01-05,715.935,2,0
2022-01-06,780.204,3,0
2022-01-08,744.92,1,0
2022-01-09,710.741,2,0
2022-01-10,742.47,1,0
2022-01-11,835.601,1,0
2022-01-12,734.355,2,0
2022-01-13,734.0,1,0
2022-01-15,742.85,1,0
2022-01-17,929.931,1,0
2022-01-19,724.89,1,0
2022-01-21,841.239,2,0
2022-01-22,706.68,1,0
2022-01-23,874.717,1,0
2022-01-26,697.997,2,0
2022-01-28,697.95,1,0
2022-01-29,697.95,1,0
2022-01-30,709.263,3,0
2022-01-31,752.07,1,0
2022-02-03,678.46,1,0
2022-02-04,720.557,3,0
2022-02-05,679.0,1,0
2022-02-06,688.25,1,0
2022-02-07,678.5,1,0
2022-02-08,720.255,4,0
2022-02-09,704.992,3,0
2022-02-11,681.85,2,0
2022-02-12,687.65,1,0
2022-02-13,689.78,1,0
2022-02-14,693.1,3,0
2022-02-15,777.97,1,0
2022-02-16,713.584,3,0
2022-02-17,695.01,1,0
2022-02-18,696.41,1,0
2022-02-19,679.0,1,0
2022-02-20,696.68,2,0
2022-02-22,701.54,1,0
2022-02-23,790.015,1,0
2022-02-24,838.15,2,0
2022-02-25,788.963,3,0
2022-02-26,702.59,1,0
2022-02-27,704.393,1,0
2022-02-28,745.989,3,0
2022-03-01,740.0,1,0
2022-03-02,741.253,1,0
2022-03-04,769.123,3,0
2022-03-05,771.632,2,0
2022-03-06,708.88,1,0
2022-03-07,762.0,1,0
2022-03-08,772.847,3,0
2022-03-09,737.56,1,0
2022-03-10,767.759,2,0
2022-03-11,780.853,3,0
2022-03-12,760.89,2,0
2022-03-13,752.5,2,0
2022-03-14,801.58,1,0
2022-03-15,823.522,2,0
2022-03-18,759.59,1,0
2022-03-19,767.0,1,0
2022-03-20,879.996,1,0
2022-03-21,908.205,2,0
2022-03-22,876.469,2,0
2022-03-27,828.741,2,0
2022-03-29,861.699,1,0
2022-04-01,845.116,3,0
2022-04-03,896.991,1,0
2022-04-04,920.0,1,0
2022-04-06,822.71,1,0
2022-04-08,871.586,3,0
2022-04-11,826.25,2,0
2022-04-15,837.91,1,0
2022-04-16,838.29,1,0
2022-04-17,844.88,1,0
2022-04-18,873.483,2,0
2022-04-21,857.255,2,0
2022-04-22,859.99,1,0
2022-04-23,896.985,2,0
2022-04-27,897.679,1,0
2022-04-28,824.52,1,0
2022-04-29,874.169,3,0
2022-04-30,835.33,1,0
2022-05-01,859.165,3,0
2022-05-02,888.43,2,0
2022-05-03,886.869,2,0
2022-05-05,795.21,2,0
2022-05-06,1023.88,1,0
2022-05-07,830.12,1,0
2022-05-08,819.893,3,0
2022-05-11,808.86,1,0
2022-05-12,801.253,1,0
2022-05-13,862.5,1,0
2022-05-14,869.456,1,0
2022-05-15,792.62,1,0
2022-05-16,800.29,1,0
2022-05-18,800.22,1,0
2022-05-21,796.1,1,0
2022-05-23,865.586,1,0
2022-05-25,874.046,1,0
2022-05-28,928.341,1,0
2022-05-29,985.944,1,0
2022-06-09,818.078,2,0
2022-06-10,847.813,1,0
2022-06-13,779.25,1,0
2022-06-19,777.25,1,0
2022-06-20,754.66,2,0
2022-06-21,750.19,2,0
2022-06-23,744.86,1,0
2022-06-24,816.511,1,0
2022-06-28,761.18,1,0
2022-06-29,824.263,1,0
2022-06-30,774.15,1,0
2022-07-01,796.68,2,0
2022-07-03,818.44,2,0
2022-07-05,790.24,1,0
2022-07-06,792.61,2,0
2022-07-07,792.53,1,0
2022-07-08,888.267,2,0
2022-07-10,896.943,1,0
2022-07-14,897.62,1,0
2022-07-19,819.21,2,0
2022-07-21,845.102,1,0
2022-07-22,800.1,1,0
2022-07-23,861.55,2,0
2022-07-28,804.26,1,0
2022-07-29,851.798,3,0
2022-07-30,835.266,3,0
2022-07-31,850.021,4,0
2022-08-01,858.694,3,0
2022-08-02,871.58,2,0
2022-08-04,838.493,2,0
2022-08-05,833.59,1,0
2022-08-06,837.99,2,0
2022-08-07,841.8,1,0
2022-08-11,815.6,1,0
2022-08-12,820.61,1,0
2022-08-14,815.0,1,0
2022-08-16,848.818,2,0
2022-08-17,1000.0,1,0
2022-08-20,773.877,3,0
2022-08-21,690.0,1,0
2022-08-23,840.483,2,0
2022-08-24,919.55,1,0
2022-08-27,949.033,1,0
2022-08-28,789.4,1,0
2022-08-30,800.447,1,0
2022-09-02,791.377,3,0
2022-09-03,869.54,2,0
2022-09-04,802.98,1,0
2022-09-06,809.995,2,0
2022-09-09,901.812,2,0
2022-09-17,723.27,3,0
2022-09-19,780.397,3,0
2022-09-25,817.954,2,0
2022-09-27,760.59,2,0
2022-09-30,762.19,1,0
2022-10-02,768.7,1,0
2022-10-04,785.22,2,0
2022-10-05,810.17,1,0
2022-10-08,1100.0,1,0
2022-10-10,825.49,1,0
2022-10-13,834.935,2,0
2022-10-15,1054.988,1,0
2022-10-16,829.64,1,0
2022-10-21,807.825,2,0
2022-10-22,1019.665,1,0
2022-10-23,770.5,1,0
2022-10-26,756.62,1,0
2022-10-27,888.49,1,0
2022-10-28,780.0,1,0
2022-10-29,908.335,2,0
2022-11-01,785.12,1,0
2022-11-04,796.23,1,0
2022-11-06,815.0,1,0
2022-11-07,814.7,1,0
2022-11-09,941.68,1,0
2022-11-11,833.445,1,0
2022-11-12,831.24,1,0
2022-11-14,815.27,1,0
2022-11-17,730.82,1,0
2022-11-23,737.26,1,0
2022-11-25,742.29,1,0
2022-11-27,762.23,2,0
2022-11-29,767.0,1,0
2022-12-01,821.5,1,0
2022-12-02,834.21,1,0
2022-12-06,950.002,1,0
2022-12-11,916.305,2,0
2022-12-15,932.126,1,0
2022-12-17,888.465,1,0
2022-12-20,907.805,2,0
2022-12-21,926.225,2,0
2022-12-23,980.007,1,0
2022-12-25,900.0,1,0
2022-12-26,3.329,1,0
2022-12-27,900.0,1,0
2022-12-28,931.498,1,0
