date,price,volume,afterUpdate
2021-09-22,788.931,1,0
2021-09-23,679.624,3,0
2021-09-25,596.155,2,0
2021-09-27,758.163,2,0
2021-09-28,631.473,4,0
2021-09-29,740.092,1,0
2021-10-01,779.057,2,0
2021-10-02,692.72,1,0
2021-10-03,753.774,1,0
2021-10-06,720.56,1,0
2021-10-08,759.0,1,0
2021-10-09,778.06,2,0
2021-10-10,720.44,1,0
2021-10-12,730.18,1,0
2021-10-13,739.17,1,0
2021-10-16,763.0,2,0
2021-10-17,765.02,1,0
2021-10-19,744.0,1,0
2021-10-20,737.54,1,0
2021-10-25,814.696,1,0
2021-10-26,754.87,1,0
2021-10-27,740.56,1,0
2021-10-28,785.36,1,0
2021-11-01,740.07,1,0
2021-11-06,756.925,2,0
2021-11-08,760.15,1,0
2021-11-12,750.02,1,0
2021-11-13,760.011,1,0
2021-11-14,703.01,1,0
2021-11-17,714.35,1,0
2021-11-18,729.03,1,0
2021-11-21,745.66,1,0
2021-11-25,691.586,1,0
2021-11-27,814.11,1,0
2021-11-28,760.0,1,0
2021-12-03,1000.017,1,0
2021-12-11,1069.69,1,0
2021-12-15,779.411,1,0
2021-12-17,787.625,2,0
2021-12-23,807.027,2,0
2021-12-24,821.99,1,0
2021-12-27,846.37,1,0
2021-12-29,795.0,1,0
2022-01-01,815.31,1,0
2022-01-03,906.012,3,0
2022-01-05,814.47,1,0
2022-01-06,872.18,1,0
2022-01-11,1072.692,1,0
2022-01-13,905.35,1,0
2022-01-14,956.647,2,0
2022-01-18,1047.81,1,0
2022-01-19,913.355,2,0
2022-01-20,1042.967,1,0
2022-01-21,1043.3,1,0
2022-01-25,911.2,1,0
2022-01-29,896.903,1,0
2022-01-30,822.06,1,0
2022-01-31,802.4,1,0
2022-02-01,813.77,1,0
2022-02-05,826.35,1,0
2022-02-07,792.9,1,0
2022-02-08,834.02,1,0
2022-02-10,837.7,1,0
2022-02-11,813.52,1,0
2022-02-14,910.504,1,0
2022-02-17,862.32,1,0
2022-02-18,940.327,1,0
2022-02-19,859.02,1,0
2022-02-20,879.717,4,0
2022-02-21,858.87,1,0
2022-02-23,921.535,3,0
2022-02-24,859.13,1,0
2022-02-25,859.165,2,0
2022-02-26,890.443,3,0
2022-02-27,959.389,1,0
2022-02-28,856.666,3,0
2022-03-01,860.0,1,0
2022-03-03,950.33,1,0
2022-03-04,983.587,1,0
2022-03-05,911.07,3,0
2022-03-06,969.356,1,0
2022-03-07,934.077,4,0
2022-03-08,904.95,1,0
2022-03-09,898.438,2,0
2022-03-10,922.845,2,0
2022-03-11,926.76,1,0
2022-03-12,896.74,3,0
2022-03-18,913.287,3,0
2022-03-19,944.0,1,0
2022-03-20,935.927,3,0
2022-03-22,991.32,1,0
2022-03-23,999.0,1,0
2022-03-24,920.0,1,0
2022-03-25,923.3,2,0
2022-03-27,925.093,3,0
2022-03-28,946.471,1,0
2022-03-29,928.995,2,0
2022-04-02,898.27,1,0
2022-04-04,939.98,1,0
2022-04-05,1000.018,1,0
2022-04-10,1150.0,1,0
2022-04-12,962.06,1,0
2022-04-16,1005.39,1,0
2022-04-18,1012.23,1,0
2022-04-19,1011.0,1,0
2022-04-22,1023.239,3,0
2022-04-24,1092.5,1,0
2022-04-25,995.24,1,0
2022-04-26,982.2,2,0
2022-04-27,988.0,1,0
2022-04-28,1067.205,1,0
2022-04-29,965.7,1,0
2022-05-03,1050.485,1,0
2022-05-04,1081.81,1,0
2022-05-07,987.24,2,0
2022-05-12,920.0,1,0
2022-05-16,939.0,2,0
2022-05-19,972.1,1,0
2022-05-24,975.974,1,0
2022-05-29,935.15,1,0
2022-05-30,926.991,1,0
2022-06-01,921.4,2,0
2022-06-02,1010.69,1,0
2022-06-03,1072.68,1,0
2022-06-04,953.35,1,0
2022-06-09,955.09,1,0
2022-06-11,922.03,1,0
2022-06-12,926.8,1,0
2022-06-15,859.0,1,0
2022-06-16,922.93,1,0
2022-06-17,850.74,1,0
2022-06-18,951.793,1,0
2022-06-20,942.759,2,0
2022-06-28,902.0,1,0
2022-06-29,984.995,2,0
2022-07-05,936.37,1,0
2022-07-06,936.36,1,0
2022-07-08,1065.359,1,0
2022-07-15,911.07,1,0
2022-07-17,990.394,2,0
2022-07-18,1056.817,1,0
2022-07-19,1085.1,1,0
2022-07-20,926.99,1,0
2022-07-24,942.01,1,0
2022-07-26,928.7,2,0
2022-07-27,928.47,3,0
2022-07-28,931.47,1,0
2022-07-29,931.0,1,0
2022-07-30,998.71,2,0
2022-07-31,953.18,1,0
2022-08-02,955.93,1,0
2022-08-03,1005.838,2,0
2022-08-05,983.25,1,0
2022-08-06,992.546,1,0
2022-08-15,1150.008,1,0
2022-08-17,969.17,2,0
2022-08-18,940.14,1,0
2022-08-25,944.41,1,0
2022-08-27,1029.281,1,0
2022-08-28,950.01,1,0
2022-09-03,942.11,1,0
2022-09-08,1000.017,1,0
2022-09-09,980.0,1,0
2022-09-10,1038.301,2,0
2022-09-21,996.71,1,0
2022-09-23,1019.394,1,0
2022-09-27,857.953,3,0
2022-09-28,863.07,1,0
2022-10-01,1023.656,1,0
2022-10-03,883.86,1,0
