date,price,volume,afterUpdate
2022-01-21,33.088,164,0
2022-01-22,23.253,121,0
2022-01-23,21.742,142,0
2022-01-24,19.756,87,0
2022-01-25,16.676,98,0
2022-01-26,15.944,100,0
2022-01-27,14.952,100,0
2022-01-28,14.194,123,0
2022-01-29,11.974,106,0
2022-01-30,11.918,107,0
2022-01-31,11.774,122,0
2022-02-01,12.064,101,0
2022-02-02,13.007,108,0
2022-02-03,14.049,83,0
2022-02-04,14.696,96,0
2022-02-05,13.221,112,0
2022-02-06,13.695,104,0
2022-02-07,13.086,125,0
2022-02-08,12.448,82,0
2022-02-09,12.461,111,0
2022-02-10,11.5,80,0
2022-02-11,11.344,120,0
2022-02-12,11.21,97,0
2022-02-13,11.394,96,0
2022-02-14,11.367,73,0
2022-02-15,10.788,101,0
2022-02-16,11.166,96,0
2022-02-17,11.621,79,0
2022-02-18,11.135,90,0
2022-02-19,10.657,121,0
2022-02-20,10.59,98,0
2022-02-21,10.627,75,0
2022-02-22,10.239,106,0
2022-02-23,10.3,111,0
2022-02-24,10.673,90,0
2022-02-25,10.653,83,0
2022-02-26,10.704,106,0
2022-02-27,10.463,85,0
2022-02-28,10.519,94,0
2022-03-01,10.453,76,0
2022-03-02,10.626,99,0
2022-03-03,10.966,92,0
2022-03-04,11.238,89,0
2022-03-05,11.779,99,0
2022-03-06,12.081,112,0
2022-03-07,11.622,90,0
2022-03-08,11.54,100,0
2022-03-09,11.309,83,0
2022-03-10,11.553,111,0
2022-03-11,11.851,109,0
2022-03-12,11.981,97,0
2022-03-13,12.1,120,0
2022-03-14,11.446,104,0
2022-03-15,12.273,105,0
2022-03-16,12.31,93,0
2022-03-17,11.735,99,0
2022-03-18,11.632,124,0
2022-03-19,11.929,93,0
2022-03-20,12.094,125,0
2022-03-21,12.148,115,0
2022-03-22,12.189,109,0
2022-03-23,11.972,86,0
2022-03-24,11.936,72,0
2022-03-25,11.949,93,0
2022-03-26,11.844,115,0
2022-03-27,11.781,90,0
2022-03-28,11.747,87,0
2022-03-29,11.427,94,0
2022-03-30,11.23,66,0
2022-03-31,11.156,96,0
2022-04-01,10.763,93,0
2022-04-02,10.486,101,0
2022-04-03,10.11,97,0
2022-04-04,10.14,67,0
2022-04-05,10.209,93,0
2022-04-06,9.977,69,0
2022-04-07,10.52,88,0
2022-04-08,10.385,84,0
2022-04-09,10.309,78,0
2022-04-10,10.512,87,0
2022-04-11,10.421,93,0
2022-04-12,10.156,96,0
2022-04-13,10.207,90,0
2022-04-14,10.343,96,0
2022-04-15,10.876,71,0
2022-04-16,10.552,71,0
2022-04-17,10.577,82,0
2022-04-18,10.915,69,0
2022-04-19,10.736,65,0
2022-04-20,10.698,58,0
2022-04-21,10.864,64,0
2022-04-22,11.055,93,0
2022-04-23,11.047,93,0
2022-04-24,10.972,109,0
2022-04-25,10.949,65,0
2022-04-26,10.527,84,0
2022-04-27,10.524,96,0
2022-04-28,10.483,69,0
2022-04-29,10.451,71,0
2022-04-30,10.705,107,0
2022-05-01,10.453,87,0
2022-05-02,10.468,107,0
2022-05-03,10.181,69,0
2022-05-04,9.64,164,0
2022-05-05,9.085,83,0
2022-05-06,8.918,89,0
2022-05-07,8.222,105,0
2022-05-08,8.372,97,0
2022-05-09,8.184,83,0
2022-05-10,7.991,73,0
2022-05-11,8.044,76,0
2022-05-12,7.836,76,0
2022-05-13,7.718,91,0
2022-05-14,8.039,139,0
2022-05-15,8.023,82,0
