date,price,volume,afterUpdate
2022-01-21,23.549,261,0
2022-01-22,13.964,225,0
2022-01-23,13.255,178,0
2022-01-24,11.802,146,0
2022-01-25,10.677,148,0
2022-01-26,10.4,133,0
2022-01-27,9.133,141,0
2022-01-28,8.22,161,0
2022-01-29,6.983,200,0
2022-01-30,6.838,148,0
2022-01-31,6.332,179,0
2022-02-01,6.866,136,0
2022-02-02,6.712,171,0
2022-02-03,7.264,171,0
2022-02-04,7.367,185,0
2022-02-05,7.145,158,0
2022-02-06,6.854,204,0
2022-02-07,6.741,175,0
2022-02-08,6.899,181,0
2022-02-09,6.732,146,0
2022-02-10,6.471,135,0
2022-02-11,6.495,214,0
2022-02-12,6.764,192,0
2022-02-13,6.773,176,0
2022-02-14,6.706,144,0
2022-02-15,6.295,144,0
2022-02-16,5.911,179,0
2022-02-17,6.198,197,0
2022-02-18,6.297,157,0
2022-02-19,6.283,185,0
2022-02-20,6.581,176,0
2022-02-21,6.418,158,0
2022-02-22,6.395,158,0
2022-02-23,6.111,182,0
2022-02-24,6.179,158,0
2022-02-25,6.149,196,0
2022-02-26,6.054,177,0
2022-02-27,6.038,185,0
2022-02-28,6.138,173,0
2022-03-01,6.309,168,0
2022-03-02,6.237,139,0
2022-03-03,6.472,162,0
2022-03-04,6.605,159,0
2022-03-05,6.728,159,0
2022-03-06,6.54,157,0
2022-03-07,6.546,174,0
2022-03-08,6.773,212,0
2022-03-09,6.295,193,0
2022-03-10,6.814,182,0
2022-03-11,6.829,187,0
2022-03-12,6.906,208,0
2022-03-13,6.932,201,0
2022-03-14,6.656,148,0
2022-03-15,6.635,161,0
2022-03-16,6.784,170,0
2022-03-17,6.707,165,0
2022-03-18,6.598,163,0
2022-03-19,6.615,187,0
2022-03-20,6.751,187,0
2022-03-21,6.877,154,0
2022-03-22,6.859,161,0
2022-03-23,6.672,153,0
2022-03-24,6.717,164,0
2022-03-25,6.676,179,0
2022-03-26,6.623,172,0
2022-03-27,6.651,155,0
2022-03-28,6.258,158,0
2022-03-29,6.428,159,0
2022-03-30,6.428,130,0
2022-03-31,6.423,139,0
2022-04-01,6.15,202,0
2022-04-02,5.786,169,0
2022-04-03,5.712,159,0
2022-04-04,5.592,176,0
2022-04-05,5.586,182,0
2022-04-06,5.586,148,0
