date,price,volume,afterUpdate
2022-01-21,36.403,151,0
2022-01-22,23.514,142,0
2022-01-23,21.85,130,0
2022-01-24,18.573,117,0
2022-01-25,16.787,107,0
2022-01-26,15.851,97,0
2022-01-27,15.192,91,0
2022-01-28,15.068,118,0
2022-01-29,12.379,136,0
2022-01-30,11.28,99,0
2022-01-31,11.517,96,0
2022-02-01,12.321,106,0
2022-02-02,12.945,103,0
2022-02-03,13.315,108,0
2022-02-04,13.485,96,0
2022-02-05,13.329,132,0
2022-02-06,13.385,128,0
2022-02-07,12.697,132,0
2022-02-08,11.771,108,0
2022-02-09,12.034,117,0
2022-02-10,11.456,104,0
2022-02-11,11.012,127,0
2022-02-12,10.797,130,0
2022-02-13,11.03,120,0
2022-02-14,10.852,101,0
2022-02-15,10.243,91,0
2022-02-16,10.561,102,0
2022-02-17,10.8,95,0
2022-02-18,11.061,94,0
2022-02-19,10.489,119,0
2022-02-20,10.351,107,0
2022-02-21,10.485,87,0
2022-02-22,10.381,103,0
2022-02-23,10.262,76,0
2022-02-24,10.497,104,0
2022-02-25,10.764,82,0
2022-02-26,10.779,113,0
2022-02-27,10.578,91,0
2022-02-28,10.755,94,0
2022-03-01,10.498,98,0
2022-03-02,10.574,97,0
2022-03-03,10.99,110,0
2022-03-04,11.222,117,0
2022-03-05,11.807,99,0
2022-03-06,11.689,94,0
2022-03-07,11.459,83,0
2022-03-08,11.439,110,0
2022-03-09,11.031,100,0
2022-03-10,11.404,121,0
2022-03-11,11.854,91,0
2022-03-12,11.686,122,0
2022-03-13,11.867,118,0
2022-03-14,11.77,95,0
2022-03-15,12.148,98,0
2022-03-16,12.004,101,0
2022-03-17,11.841,103,0
2022-03-18,11.836,91,0
2022-03-19,11.907,124,0
2022-03-20,11.915,129,0
2022-03-21,12.078,88,0
2022-03-22,12.236,102,0
2022-03-23,12.135,114,0
2022-03-24,11.895,84,0
2022-03-25,11.923,109,0
2022-03-26,11.453,93,0
2022-03-27,11.614,109,0
2022-03-28,11.614,81,0
2022-03-29,11.592,89,0
2022-03-30,11.275,74,0
2022-03-31,11.144,126,0
2022-04-01,10.981,125,0
2022-04-02,10.662,119,0
2022-04-03,10.209,104,0
2022-04-04,9.979,103,0
2022-04-05,9.892,104,0
2022-04-06,9.885,79,0
2022-04-07,10.18,101,0
2022-04-08,10.263,98,0
2022-04-09,10.294,102,0
2022-04-10,10.267,97,0
2022-04-11,10.23,71,0
2022-04-12,10.305,63,0
2022-04-13,10.417,69,0
2022-04-14,10.427,96,0
2022-04-15,10.59,87,0
2022-04-16,10.56,78,0
2022-04-17,10.561,69,0
2022-04-18,10.647,71,0
2022-04-19,10.747,75,0
2022-04-20,10.921,80,0
2022-04-21,10.757,68,0
2022-04-22,10.774,92,0
2022-04-23,11.037,87,0
2022-04-24,10.985,76,0
2022-04-25,10.834,71,0
2022-04-26,10.546,85,0
2022-04-27,10.43,121,0
2022-04-28,10.278,78,0
2022-04-29,10.28,86,0
