date,price,volume,afterUpdate
2021-09-22,149.997,1,0
2021-09-23,116.174,2,0
2021-09-24,133.99,15,0
2021-09-25,130.923,4,0
2021-09-26,151.562,5,0
2021-09-27,146.034,7,0
2021-09-28,159.025,3,0
2021-09-29,137.106,4,0
2021-09-30,165.854,5,0
2021-10-01,159.213,6,0
2021-10-02,149.667,8,0
2021-10-03,155.999,6,0
2021-10-04,150.001,1,0
2021-10-05,146.143,8,0
2021-10-06,155.261,6,0
2021-10-07,161.868,3,0
2021-10-08,161.155,8,0
2021-10-09,169.364,4,0
2021-10-10,175.089,4,0
2021-10-12,172.847,2,0
2021-10-13,151.035,3,0
2021-10-14,146.2,1,0
2021-10-15,156.371,2,0
2021-10-16,150.63,4,0
2021-10-17,162.652,6,0
2021-10-18,147.587,2,0
2021-10-19,114.322,3,0
2021-10-20,176.034,4,0
2021-10-21,149.86,1,0
2021-10-22,163.034,3,0
2021-10-23,156.631,3,0
2021-10-24,155.075,4,0
2021-10-25,137.654,3,0
2021-10-26,154.643,4,0
2021-10-27,154.175,4,0
2021-10-28,133.405,1,0
2021-10-29,144.975,5,0
2021-10-30,142.782,2,0
2021-10-31,148.357,5,0
2021-11-01,142.412,3,0
2021-11-02,152.195,8,0
2021-11-03,158.576,4,0
2021-11-04,153.909,4,0
2021-11-05,165.6,5,0
2021-11-06,150.216,2,0
2021-11-07,148.418,4,0
2021-11-08,170.45,2,0
2021-11-09,141.0,1,0
2021-11-10,156.318,1,0
2021-11-11,139.297,3,0
2021-11-12,167.393,1,0
2021-11-13,139.027,5,0
2021-11-14,143.932,5,0
2021-11-15,161.23,1,0
2021-11-16,149.243,3,0
2021-11-17,161.4,1,0
2021-11-18,131.839,2,0
2021-11-19,147.175,8,0
2021-11-20,153.288,1,0
2021-11-21,143.592,6,0
2021-11-22,160.164,2,0
2021-11-23,141.996,3,0
2021-11-24,146.985,4,0
2021-11-25,159.43,1,0
2021-11-26,159.47,2,0
2021-11-27,146.846,2,0
2021-11-28,155.401,3,0
2021-11-29,162.327,4,0
2021-11-30,145.088,2,0
2021-12-01,131.527,3,0
2021-12-02,145.368,4,0
2021-12-03,151.783,3,0
2021-12-04,147.11,2,0
2021-12-05,154.472,4,0
2021-12-06,147.14,1,0
2021-12-07,150.966,3,0
2021-12-08,153.02,3,0
2021-12-09,163.029,4,0
2021-12-10,152.356,4,0
2021-12-11,159.251,2,0
2021-12-12,166.869,4,0
2021-12-14,155.957,3,0
2021-12-15,152.666,4,0
2021-12-16,157.721,3,0
2021-12-17,153.11,4,0
2021-12-18,152.044,4,0
2021-12-19,151.125,10,0
2021-12-20,141.98,2,0
2021-12-22,141.051,3,0
2021-12-23,169.932,2,0
2021-12-24,143.427,2,0
2021-12-25,160.803,4,0
2021-12-26,164.524,4,0
2021-12-27,161.859,3,0
2021-12-28,180.002,2,0
2021-12-30,162.121,2,0
2021-12-31,167.444,4,0
2022-01-01,161.679,3,0
2022-01-02,171.641,5,0
2022-01-03,151.792,2,0
2022-01-04,148.362,4,0
2022-01-05,172.952,4,0
2022-01-06,176.834,2,0
2022-01-07,169.621,2,0
2022-01-08,178.269,4,0
