date,price,volume,afterUpdate
2021-09-22,325.016,1,0
2021-09-23,180.104,7,0
2021-09-24,153.343,8,0
2021-09-25,208.997,3,0
2021-09-26,183.205,4,0
2021-09-27,190.186,4,0
2021-09-29,205.967,2,0
2021-10-01,197.493,4,0
2021-10-02,201.109,2,0
2021-10-03,200.258,4,0
2021-10-04,197.505,2,0
2021-10-05,178.914,4,0
2021-10-06,191.734,6,0
2021-10-07,211.347,3,0
2021-10-08,185.587,1,0
2021-10-09,186.181,3,0
2021-10-12,201.107,3,0
2021-10-13,200.947,5,0
2021-10-14,187.031,4,0
2021-10-15,195.23,4,0
2021-10-16,198.253,2,0
2021-10-17,188.92,2,0
2021-10-20,182.744,1,0
2021-10-21,189.281,3,0
2021-10-22,194.41,1,0
2021-10-23,175.117,2,0
2021-10-24,175.207,4,0
2021-10-25,192.786,1,0
2021-10-26,176.553,2,0
2021-10-27,177.23,2,0
2021-10-28,180.009,1,0
2021-10-29,169.636,3,0
2021-10-30,167.046,2,0
2021-10-31,171.677,1,0
2021-11-01,168.431,4,0
2021-11-02,194.44,1,0
2021-11-03,190.642,2,0
2021-11-04,209.375,2,0
2021-11-05,194.729,3,0
2021-11-06,229.651,2,0
2021-11-07,208.214,4,0
2021-11-09,161.96,1,0
2021-11-10,124.29,3,0
2021-11-11,198.221,2,0
2021-11-12,182.905,2,0
2021-11-14,189.309,2,0
2021-11-15,200.345,3,0
2021-11-18,171.04,1,0
2021-11-21,219.37,1,0
2021-11-22,171.37,2,0
2021-11-24,202.304,1,0
2021-11-25,223.467,1,0
2021-11-26,220.006,1,0
2021-11-27,171.57,2,0
2021-11-28,171.101,2,0
2021-11-29,161.86,1,0
2021-12-01,171.197,4,0
2021-12-02,196.08,1,0
2021-12-03,174.852,4,0
2021-12-05,184.558,4,0
2021-12-06,173.736,2,0
2021-12-08,176.5,2,0
2021-12-09,197.135,2,0
2021-12-10,177.52,1,0
2021-12-11,180.285,2,0
2021-12-16,204.82,1,0
2021-12-17,203.216,2,0
2021-12-18,205.023,2,0
2021-12-19,178.564,1,0
2021-12-21,222.052,1,0
2021-12-22,214.905,1,0
2021-12-24,180.02,1,0
2021-12-25,178.835,2,0
2021-12-30,203.944,1,0
2021-12-31,216.155,2,0
2022-01-01,230.003,1,0
2022-01-02,195.67,1,0
2022-01-03,196.47,1,0
2022-01-04,190.29,1,0
2022-01-05,191.787,1,0
2022-01-06,192.9,1,0
2022-01-07,268.547,1,0
2022-01-09,265.467,1,0
2022-01-11,214.031,1,0
2022-01-17,202.567,2,0
2022-01-21,199.69,1,0
2022-01-22,213.535,2,0
2022-01-26,204.03,3,0
2022-01-27,198.828,5,0
2022-01-28,193.754,3,0
2022-01-29,183.72,1,0
2022-01-30,177.942,2,0
2022-01-31,195.887,3,0
2022-02-01,184.611,1,0
2022-02-02,211.299,1,0
2022-02-03,200.157,2,0
2022-02-04,221.726,1,0
2022-02-07,185.15,1,0
2022-02-08,197.501,2,0
2022-02-09,198.425,2,0
2022-02-10,227.297,2,0
2022-02-12,182.212,3,0
2022-02-13,186.05,2,0
2022-02-14,195.775,3,0
2022-02-16,187.06,1,0
2022-02-17,188.015,2,0
2022-02-18,215.797,1,0
2022-02-19,199.526,4,0
2022-02-21,224.64,1,0
2022-02-22,227.005,1,0
2022-02-23,187.002,2,0
2022-02-24,186.582,1,0
2022-02-25,211.484,4,0
2022-02-27,203.003,2,0
2022-03-01,189.266,4,0
2022-03-02,163.81,1,0
2022-03-03,203.834,2,0
2022-03-04,211.121,3,0
2022-03-06,190.776,2,0
2022-03-07,198.189,2,0
2022-03-10,206.338,3,0
2022-03-11,206.006,2,0
2022-03-12,204.71,3,0
2022-03-13,197.63,1,0
2022-03-14,190.07,1,0
2022-03-15,222.279,1,0
2022-03-16,220.232,2,0
2022-03-19,202.26,2,0
2022-03-20,232.91,1,0
2022-03-21,211.327,1,0
2022-03-22,208.693,2,0
2022-03-23,228.085,1,0
2022-03-25,197.89,1,0
2022-03-26,195.438,2,0
2022-03-27,217.404,1,0
2022-03-28,235.014,1,0
2022-03-30,211.78,2,0
2022-03-31,204.903,3,0
2022-04-01,230.0,1,0
2022-04-02,193.2,1,0
2022-04-03,205.185,3,0
2022-04-04,218.005,2,0
2022-04-06,205.44,1,0
2022-04-07,227.535,2,0
2022-04-08,251.338,1,0
2022-04-09,251.807,2,0
2022-04-11,232.893,2,0
2022-04-12,205.321,1,0
2022-04-14,270.488,1,0
2022-04-15,238.509,2,0
2022-04-17,232.992,2,0
2022-04-19,235.089,1,0
2022-04-22,205.94,2,0
2022-04-23,224.634,2,0
2022-04-24,209.77,1,0
2022-04-26,220.142,3,0
2022-04-28,210.09,2,0
2022-04-29,189.131,2,0
2022-04-30,197.415,4,0
2022-05-02,210.506,1,0
2022-05-03,212.683,4,0
2022-05-04,219.179,1,0
2022-05-05,212.863,1,0
2022-05-06,207.894,4,0
2022-05-07,212.367,1,0
2022-05-08,205.463,1,0
2022-05-10,214.764,2,0
2022-05-12,233.34,1,0
2022-05-13,227.504,3,0
2022-05-14,231.769,1,0
2022-05-15,194.95,1,0
2022-05-16,220.176,1,0
2022-05-17,196.006,1,0
2022-05-19,212.345,2,0
2022-05-20,194.72,1,0
2022-05-21,194.35,1,0
2022-05-22,190.02,1,0
2022-05-23,189.355,2,0
2022-05-26,193.432,1,0
2022-05-27,193.656,4,0
2022-05-28,223.916,2,0
2022-05-29,186.22,2,0
2022-05-30,200.505,2,0
2022-06-01,181.89,1,0
2022-06-02,193.87,2,0
2022-06-04,185.85,1,0
2022-06-05,185.221,1,0
2022-06-06,198.222,2,0
2022-06-07,199.587,1,0
2022-06-08,216.63,1,0
2022-06-09,185.005,2,0
2022-06-10,206.669,4,0
2022-06-11,187.674,3,0
2022-06-12,175.79,1,0
2022-06-13,181.602,3,0
2022-06-14,215.406,2,0
2022-06-15,209.38,1,0
2022-06-16,219.032,1,0
2022-06-17,172.63,1,0
2022-06-18,171.335,2,0
2022-06-19,178.585,2,0
2022-06-20,208.395,1,0
2022-06-21,169.55,1,0
2022-06-22,200.062,2,0
2022-06-23,170.746,1,0
2022-06-24,186.307,5,0
2022-06-26,165.414,4,0
2022-06-27,179.645,2,0
2022-06-28,180.0,1,0
2022-06-29,200.008,1,0
2022-06-30,197.72,1,0
2022-07-02,170.24,3,0
2022-07-04,170.63,1,0
2022-07-06,188.74,1,0
2022-07-07,165.122,1,0
2022-07-08,166.52,2,0
2022-07-09,188.678,2,0
2022-07-10,182.989,3,0
2022-07-11,174.943,3,0
2022-07-13,177.838,2,0
2022-07-15,181.977,4,0
2022-07-16,198.201,2,0
