date,price,volume,afterUpdate
2022-01-21,30.479,160,0
2022-01-22,23.366,168,0
2022-01-23,22.689,121,0
2022-01-24,18.79,135,0
2022-01-25,15.788,104,0
2022-01-26,15.681,90,0
2022-01-27,14.92,111,0
2022-01-28,14.59,114,0
2022-01-29,11.872,116,0
2022-01-30,11.33,111,0
2022-01-31,11.519,134,0
2022-02-01,11.893,109,0
2022-02-02,12.862,115,0
2022-02-03,13.583,103,0
2022-02-04,14.323,93,0
2022-02-05,13.072,117,0
2022-02-06,13.67,93,0
2022-02-07,12.664,85,0
2022-02-08,11.862,107,0
2022-02-09,12.181,113,0
2022-02-10,11.528,97,0
2022-02-11,10.412,88,0
2022-02-12,10.654,118,0
2022-02-13,10.93,99,0
2022-02-14,11.117,71,0
2022-02-15,10.234,109,0
2022-02-16,10.283,134,0
2022-02-17,11.125,100,0
2022-02-18,10.421,88,0
2022-02-19,10.465,87,0
2022-02-20,10.497,77,0
2022-02-21,10.091,109,0
2022-02-22,10.331,120,0
2022-02-23,10.646,89,0
2022-02-24,10.687,104,0
2022-02-25,10.648,105,0
2022-02-26,10.664,98,0
2022-02-27,10.376,112,0
2022-02-28,10.588,99,0
2022-03-01,10.075,108,0
2022-03-02,10.2,106,0
2022-03-03,11.108,95,0
2022-03-04,11.158,88,0
2022-03-05,11.842,96,0
2022-03-06,11.765,109,0
2022-03-07,11.579,98,0
2022-03-08,11.21,109,0
2022-03-09,10.673,96,0
2022-03-10,11.523,112,0
2022-03-11,11.401,105,0
2022-03-12,11.659,126,0
2022-03-13,11.816,100,0
2022-03-14,11.923,100,0
2022-03-15,11.763,99,0
2022-03-16,11.949,88,0
2022-03-17,11.623,97,0
2022-03-18,11.632,77,0
2022-03-19,11.672,98,0
2022-03-20,12.07,104,0
2022-03-21,12.038,75,0
2022-03-22,12.089,109,0
2022-03-23,12.175,103,0
2022-03-24,11.75,97,0
2022-03-25,11.665,114,0
2022-03-26,11.518,109,0
2022-03-27,11.63,102,0
2022-03-28,11.508,104,0
2022-03-29,11.483,123,0
2022-03-30,11.017,66,0
2022-03-31,10.97,131,0
2022-04-01,10.792,116,0
2022-04-02,10.509,102,0
2022-04-03,10.196,93,0
2022-04-04,9.988,86,0
2022-04-05,9.878,85,0
2022-04-06,10.007,80,0
2022-04-07,10.234,96,0
2022-04-08,10.535,83,0
2022-04-09,10.259,87,0
2022-04-10,10.102,74,0
2022-04-11,10.038,80,0
2022-04-12,10.311,93,0
2022-04-13,10.431,88,0
2022-04-14,10.435,84,0
2022-04-15,10.498,80,0
2022-04-16,10.409,76,0
2022-04-17,10.911,74,0
2022-04-18,10.848,64,0
2022-04-19,10.896,64,0
2022-04-20,11.097,109,0
2022-04-21,10.869,59,0
2022-04-22,10.72,82,0
2022-04-23,10.992,79,0
2022-04-24,10.827,70,0
2022-04-25,10.825,94,0
2022-04-26,10.374,86,0
2022-04-27,10.379,93,0
2022-04-28,10.203,70,0
2022-04-29,10.339,85,0
2022-04-30,10.227,76,0
2022-05-01,10.035,84,0
2022-05-02,9.9,83,0
2022-05-03,9.995,79,0
2022-05-04,9.626,123,0
2022-05-05,9.269,88,0
2022-05-06,8.974,96,0
2022-05-07,8.412,79,0
2022-05-08,8.142,91,0
2022-05-09,7.877,105,0
2022-05-10,7.861,93,0
2022-05-11,7.943,88,0
2022-05-12,7.798,68,0
2022-05-13,7.944,99,0
2022-05-14,7.818,74,0
2022-05-15,7.95,89,0
2022-05-16,7.881,74,0
2022-05-17,8.012,80,0
2022-05-18,8.05,100,0
2022-05-19,7.93,72,0
2022-05-20,7.998,77,0
2022-05-21,8.144,92,0
2022-05-22,8.023,76,0
2022-05-23,7.945,60,0
2022-05-24,7.972,69,0
2022-05-25,7.706,53,0
2022-05-26,7.584,96,0
2022-05-27,7.646,87,0
2022-05-28,7.406,75,0
2022-05-29,7.16,77,0
2022-05-30,6.649,88,0
2022-05-31,6.692,76,0
2022-06-01,6.801,79,0
2022-06-02,6.788,80,0
2022-06-03,6.922,78,0
2022-06-04,6.975,96,0
2022-06-05,6.926,90,0
2022-06-06,6.975,90,0
2022-06-07,7.103,64,0
2022-06-08,7.02,84,0
2022-06-09,7.093,136,0
2022-06-10,7.449,72,0
2022-06-11,7.078,88,0
2022-06-12,7.241,82,0
2022-06-13,7.276,75,0
2022-06-14,7.072,84,0
2022-06-15,6.604,74,0
2022-06-16,6.654,96,0
2022-06-17,6.339,104,0
2022-06-18,6.238,55,0
2022-06-19,6.062,67,0
2022-06-20,6.1,86,0
2022-06-21,6.004,76,0
2022-06-22,5.821,91,0
2022-06-23,5.884,82,0
2022-06-24,5.919,87,0
2022-06-25,5.907,82,0
2022-06-26,5.607,100,0
2022-06-27,5.633,113,0
2022-06-28,5.713,97,0
2022-06-29,5.748,126,0
2022-06-30,5.658,75,0
2022-07-01,5.679,77,0
2022-07-02,5.841,112,0
2022-07-03,5.882,79,0
2022-07-04,5.978,100,0
2022-07-05,6.036,93,0
2022-07-06,5.901,85,0
2022-07-07,5.809,96,0
2022-07-08,5.981,70,0
2022-07-09,6.064,96,0
2022-07-10,6.066,101,0
2022-07-11,6.121,106,0
2022-07-12,6.217,96,0
2022-07-13,6.306,49,0
2022-07-14,6.251,87,0
2022-07-15,6.043,96,0
2022-07-16,6.064,90,0
2022-07-17,6.151,96,0
2022-07-18,6.054,86,0
2022-07-19,5.988,69,0
2022-07-20,6.04,59,0
2022-07-21,6.067,90,0
2022-07-22,6.156,100,0
