date,price,volume,afterUpdate
2022-01-21,75.096,118,0
2022-01-22,43.575,112,0
2022-01-23,37.613,91,0
2022-01-24,35.751,68,0
2022-01-25,35.112,84,0
2022-01-26,36.049,80,0
2022-01-27,32.936,71,0
2022-01-28,34.944,80,0
2022-01-29,25.176,105,0
2022-01-30,21.625,89,0
2022-01-31,22.51,84,0
2022-02-01,25.639,88,0
2022-02-02,26.505,81,0
2022-02-03,25.984,75,0
2022-02-04,27.448,72,0
2022-02-05,26.505,65,0
2022-02-06,27.153,75,0
2022-02-07,26.936,65,0
2022-02-08,25.733,78,0
2022-02-09,24.148,95,0
2022-02-10,24.433,84,0
2022-02-11,26.0,82,0
2022-02-12,26.348,86,0
2022-02-13,26.574,107,0
2022-02-14,25.823,69,0
2022-02-15,23.725,82,0
2022-02-16,24.939,73,0
2022-02-17,25.227,74,0
2022-02-18,23.535,81,0
2022-02-19,23.892,83,0
2022-02-20,23.581,76,0
2022-02-21,22.236,89,0
2022-02-22,20.584,91,0
2022-02-23,21.154,97,0
2022-02-24,21.723,77,0
2022-02-25,21.517,85,0
2022-02-26,21.487,90,0
2022-02-27,21.717,103,0
2022-02-28,22.6,85,0
2022-03-01,22.235,74,0
2022-03-02,21.568,84,0
2022-03-03,22.347,77,0
2022-03-04,22.169,94,0
2022-03-05,23.402,97,0
2022-03-06,23.344,94,0
2022-03-07,23.352,79,0
2022-03-08,23.409,81,0
2022-03-09,22.159,72,0
2022-03-10,21.255,99,0
2022-03-11,21.678,88,0
2022-03-12,21.815,94,0
2022-03-13,21.632,97,0
2022-03-14,20.697,100,0
2022-03-15,20.896,85,0
2022-03-16,19.958,101,0
2022-03-17,19.34,103,0
2022-03-18,19.913,90,0
2022-03-19,20.137,114,0
2022-03-20,20.231,86,0
2022-03-21,19.586,80,0
2022-03-22,19.375,95,0
2022-03-23,19.304,69,0
2022-03-24,19.643,80,0
2022-03-25,19.094,87,0
2022-03-26,19.046,95,0
2022-03-27,18.671,96,0
2022-03-28,19.682,75,0
2022-03-29,18.869,72,0
2022-03-30,18.388,94,0
2022-03-31,18.277,80,0
2022-04-01,18.206,112,0
2022-04-02,17.098,112,0
2022-04-03,16.668,93,0
2022-04-04,16.582,118,0
2022-04-05,17.194,89,0
2022-04-06,16.969,88,0
2022-04-07,16.899,105,0
2022-04-08,16.444,97,0
2022-04-09,16.851,97,0
2022-04-10,16.949,90,0
2022-04-11,17.701,90,0
2022-04-12,17.019,75,0
2022-04-13,17.617,85,0
2022-04-14,17.726,76,0
2022-04-15,18.062,79,0
2022-04-16,18.025,92,0
2022-04-17,17.939,83,0
2022-04-18,17.742,80,0
2022-04-19,17.979,72,0
2022-04-20,18.467,61,0
2022-04-21,17.816,77,0
2022-04-22,17.734,78,0
2022-04-23,17.655,109,0
2022-04-24,17.462,93,0
2022-04-25,16.742,81,0
2022-04-26,16.323,85,0
2022-04-27,15.576,102,0
2022-04-28,15.445,98,0
2022-04-29,14.902,105,0
2022-04-30,14.627,98,0
2022-05-01,14.57,99,0
2022-05-02,14.503,102,0
2022-05-03,14.535,66,0
2022-05-04,13.918,209,0
2022-05-05,13.659,110,0
2022-05-06,13.375,118,0
2022-05-07,12.956,99,0
2022-05-08,12.789,100,0
2022-05-09,12.436,96,0
2022-05-10,12.297,87,0
2022-05-11,11.997,95,0
2022-05-12,11.863,90,0
2022-05-13,11.929,91,0
2022-05-14,12.193,102,0
2022-05-15,11.621,105,0
2022-05-16,11.629,83,0
2022-05-17,11.452,79,0
2022-05-18,11.731,92,0
2022-05-19,11.97,89,0
2022-05-20,11.747,97,0
2022-05-21,11.665,107,0
2022-05-22,11.358,106,0
2022-05-23,12.185,90,0
2022-05-24,11.828,89,0
2022-05-25,11.83,95,0
2022-05-26,11.591,83,0
2022-05-27,11.909,98,0
2022-05-28,11.622,91,0
2022-05-29,11.273,100,0
2022-05-30,11.68,92,0
2022-05-31,11.607,111,0
2022-06-01,11.713,89,0
2022-06-02,11.939,85,0
2022-06-03,11.791,141,0
2022-06-04,11.612,142,0
2022-06-05,11.543,98,0
2022-06-06,11.616,101,0
2022-06-07,11.589,103,0
2022-06-08,11.754,103,0
2022-06-09,11.523,100,0
2022-06-10,11.599,95,0
2022-06-11,11.265,99,0
2022-06-12,10.725,101,0
2022-06-13,10.602,84,0
2022-06-14,10.767,108,0
2022-06-15,10.271,114,0
2022-06-16,10.016,113,0
2022-06-17,9.922,87,0
2022-06-18,9.867,101,0
2022-06-19,9.95,96,0
2022-06-20,10.165,94,0
