date,price,volume,afterUpdate
2022-01-21,110.482,59,0
2022-01-22,68.962,53,0
2022-01-23,61.596,51,0
2022-01-24,57.15,31,0
2022-01-25,59.087,40,0
2022-01-26,58.248,33,0
2022-01-27,59.687,44,0
2022-01-28,62.752,29,0
2022-01-29,46.924,48,0
2022-01-30,46.085,37,0
2022-01-31,48.016,36,0
2022-02-01,53.332,38,0
2022-02-02,53.88,48,0
2022-02-03,57.724,40,0
2022-02-04,55.2,39,0
2022-02-05,54.95,40,0
2022-02-06,56.205,42,0
2022-02-07,55.381,31,0
2022-02-08,54.512,29,0
2022-02-09,51.699,42,0
2022-02-10,53.254,28,0
2022-02-11,54.566,46,0
2022-02-12,51.423,33,0
2022-02-13,52.739,41,0
2022-02-14,51.754,39,0
2022-02-15,51.067,38,0
2022-02-16,52.233,38,0
2022-02-17,53.255,35,0
2022-02-18,53.771,41,0
2022-02-19,53.396,34,0
2022-02-20,50.223,52,0
2022-02-21,50.123,39,0
2022-02-22,53.485,35,0
2022-02-23,54.053,39,0
2022-02-24,53.472,38,0
2022-02-25,52.577,50,0
2022-02-26,52.442,31,0
2022-02-27,51.522,51,0
2022-02-28,51.444,48,0
2022-03-01,52.715,34,0
2022-03-02,51.44,43,0
2022-03-03,52.612,46,0
2022-03-04,52.821,43,0
2022-03-05,55.199,34,0
2022-03-06,56.007,45,0
2022-03-07,55.83,45,0
2022-03-08,53.716,35,0
2022-03-09,55.079,39,0
2022-03-10,55.438,43,0
2022-03-11,54.881,40,0
2022-03-12,56.482,37,0
2022-03-13,55.559,51,0
2022-03-14,53.881,36,0
2022-03-15,53.264,31,0
2022-03-16,54.149,39,0
2022-03-17,51.277,31,0
2022-03-18,50.411,37,0
2022-03-19,51.093,55,0
2022-03-20,50.165,49,0
2022-03-21,46.994,27,0
2022-03-22,46.432,33,0
2022-03-23,46.329,35,0
2022-03-24,48.334,37,0
2022-03-25,48.21,39,0
2022-03-26,47.884,45,0
2022-03-27,46.989,31,0
2022-03-28,46.536,28,0
2022-03-29,45.509,33,0
2022-03-30,43.006,34,0
2022-03-31,42.645,40,0
2022-04-01,41.853,38,0
2022-04-02,40.318,46,0
2022-04-03,41.572,35,0
2022-04-04,42.024,38,0
2022-04-05,42.092,27,0
2022-04-06,42.278,24,0
2022-04-07,42.665,31,0
2022-04-08,42.151,29,0
2022-04-09,42.364,40,0
2022-04-10,42.257,40,0
2022-04-11,43.059,34,0
2022-04-12,43.216,24,0
2022-04-13,43.63,28,0
2022-04-14,43.857,28,0
2022-04-15,44.478,36,0
2022-04-16,43.697,35,0
2022-04-17,44.808,33,0
2022-04-18,44.313,25,0
2022-04-19,45.012,37,0
2022-04-20,41.729,23,0
2022-04-21,41.481,28,0
2022-04-22,41.599,37,0
2022-04-23,41.946,35,0
2022-04-24,41.016,29,0
2022-04-25,40.487,24,0
2022-04-26,39.637,38,0
2022-04-27,38.055,34,0
2022-04-28,37.351,36,0
2022-04-29,36.951,31,0
2022-04-30,38.38,52,0
2022-05-01,36.688,30,0
2022-05-02,38.439,30,0
2022-05-03,38.054,26,0
2022-05-04,36.271,56,0
2022-05-05,35.131,36,0
2022-05-06,36.0,30,0
2022-05-07,34.364,31,0
2022-05-08,32.73,29,0
2022-05-09,31.206,39,0
2022-05-10,30.13,33,0
2022-05-11,29.031,37,0
2022-05-12,29.708,40,0
2022-05-13,30.097,39,0
2022-05-14,30.897,33,0
2022-05-15,30.587,33,0
2022-05-16,30.244,32,0
2022-05-17,31.62,15,0
2022-05-18,29.377,38,0
2022-05-19,28.439,30,0
2022-05-20,28.839,26,0
2022-05-21,28.213,42,0
2022-05-22,27.779,32,0
2022-05-23,27.385,30,0
2022-05-24,27.062,28,0
2022-05-25,26.094,31,0
2022-05-26,27.548,35,0
2022-05-27,27.9,30,0
2022-05-28,27.429,43,0
2022-05-29,27.518,36,0
2022-05-30,26.635,42,0
2022-05-31,27.186,36,0
2022-06-01,28.443,40,0
2022-06-02,28.968,31,0
2022-06-03,28.64,50,0
2022-06-04,28.883,36,0
2022-06-05,28.616,53,0
2022-06-06,29.191,36,0
2022-06-07,29.887,35,0
2022-06-08,28.94,33,0
2022-06-09,27.664,36,0
2022-06-10,27.667,22,0
2022-06-11,26.911,44,0
2022-06-12,27.488,42,0
2022-06-13,27.05,32,0
2022-06-14,26.054,35,0
2022-06-15,25.912,40,0
2022-06-16,25.538,36,0
2022-06-17,24.99,39,0
2022-06-18,24.763,33,0
2022-06-19,24.563,45,0
2022-06-20,24.198,36,0
2022-06-21,24.65,26,0
2022-06-22,24.319,48,0
2022-06-23,24.112,34,0
2022-06-24,24.777,45,0
2022-06-25,24.941,37,0
2022-06-26,23.31,32,0
2022-06-27,22.359,50,0
2022-06-28,22.892,34,0
2022-06-29,21.874,37,0
2022-06-30,21.939,30,0
2022-07-01,22.781,46,0
2022-07-02,23.077,60,0
2022-07-03,23.682,55,0
2022-07-04,24.784,58,0
2022-07-05,24.338,63,0
2022-07-06,23.539,49,0
2022-07-07,24.483,41,0
2022-07-08,24.411,47,0
2022-07-09,25.244,48,0
2022-07-10,25.562,39,0
2022-07-11,25.529,40,0
2022-07-12,24.955,39,0
2022-07-13,24.282,21,0
2022-07-14,24.059,51,0
2022-07-15,24.05,40,0
2022-07-16,24.337,47,0
2022-07-17,24.447,47,0
2022-07-18,24.442,37,0
2022-07-19,24.523,39,0
2022-07-20,24.905,17,0
2022-07-21,24.988,42,0
2022-07-22,24.866,38,0
2022-07-23,24.698,45,0
2022-07-24,24.777,44,0
2022-07-25,24.625,42,0
2022-07-26,24.244,28,0
2022-07-27,24.416,35,0
2022-07-28,24.246,41,0
2022-07-29,24.124,41,0
2022-07-30,23.834,40,0
2022-07-31,24.119,40,0
2022-08-01,24.005,35,0
2022-08-02,24.545,41,0
2022-08-03,24.422,28,0
2022-08-04,24.089,38,0
2022-08-05,23.641,47,0
2022-08-06,23.113,40,0
2022-08-07,23.774,34,0
2022-08-08,23.21,35,0
2022-08-09,22.803,17,0
2022-08-10,22.423,53,0
2022-08-11,22.841,34,0
2022-08-12,22.709,38,0
2022-08-13,21.992,46,0
2022-08-14,22.801,41,0
2022-08-15,22.179,42,0
2022-08-16,21.757,37,0
2022-08-17,21.541,55,0
2022-08-18,21.559,37,0
2022-08-19,21.949,42,0
2022-08-20,21.696,41,0
2022-08-21,21.634,59,0
2022-08-22,21.672,34,0
2022-08-23,21.673,37,0
2022-08-24,21.551,38,0
2022-08-25,20.899,46,0
2022-08-26,21.362,47,0
2022-08-27,22.145,59,0
2022-08-28,21.466,56,0
2022-08-29,21.881,48,0
2022-08-30,21.935,37,0
2022-08-31,21.264,46,0
2022-09-01,21.798,41,0
2022-09-02,21.321,43,0
2022-09-03,21.616,38,0
2022-09-04,21.937,45,0
2022-09-05,22.14,42,0
2022-09-06,21.636,35,0
2022-09-07,20.861,46,0
2022-09-08,21.734,40,0
2022-09-09,21.092,38,0
2022-09-10,20.259,44,0
2022-09-11,19.859,44,0
2022-09-12,20.454,29,0
2022-09-13,20.49,42,0
2022-09-14,20.317,38,0
2022-09-15,20.182,36,0
2022-09-16,19.254,34,0
2022-09-17,19.735,52,0
2022-09-18,19.229,43,0
2022-09-19,18.751,45,0
2022-09-20,18.982,42,0
2022-09-21,18.368,45,0
2022-09-22,17.715,37,0
2022-09-23,18.157,32,0
2022-09-24,18.495,36,0
2022-09-25,18.284,36,0
2022-09-26,18.391,41,0
2022-09-27,17.912,43,0
2022-09-28,18.218,30,0
2022-09-29,17.867,30,0
2022-09-30,17.769,40,0
2022-10-01,17.953,30,0
2022-10-02,18.348,53,0
2022-10-03,18.478,50,0
2022-10-04,18.726,36,0
2022-10-05,18.93,36,0
2022-10-06,18.791,40,0
2022-10-07,18.848,42,0
2022-10-08,18.681,44,0
2022-10-09,18.548,44,0
2022-10-10,19.053,33,0
2022-10-11,19.594,35,0
2022-10-12,19.084,26,0
2022-10-13,18.771,38,0
2022-10-14,18.927,19,0
2022-10-15,18.821,43,0
2022-10-16,18.617,28,0
2022-10-17,18.204,35,0
2022-10-18,18.232,38,0
2022-10-19,18.416,29,0
2022-10-20,18.381,27,0
2022-10-21,18.197,38,0
2022-10-22,17.658,64,0
2022-10-23,16.932,38,0
2022-10-24,17.258,40,0
2022-10-25,17.643,30,0
2022-10-26,17.009,26,0
2022-10-27,17.325,57,0
2022-10-28,17.836,28,0
2022-10-29,17.768,37,0
2022-10-30,17.621,28,0
2022-10-31,17.272,35,0
2022-11-01,17.202,44,0
2022-11-02,17.462,37,0
2022-11-03,17.607,45,0
2022-11-04,17.303,28,0
2022-11-05,18.0,50,0
2022-11-06,18.048,36,0
2022-11-07,18.128,33,0
2022-11-08,18.085,35,0
2022-11-09,18.224,28,0
2022-11-10,17.706,29,0
2022-11-11,18.308,25,0
2022-11-12,18.392,28,0
2022-11-13,18.401,32,0
2022-11-14,17.812,25,0
2022-11-15,17.54,40,0
2022-11-16,17.63,30,0
2022-11-17,16.846,30,0
2022-11-18,16.864,51,0
2022-11-19,17.369,31,0
2022-11-20,16.626,34,0
2022-11-21,16.995,37,0
2022-11-22,17.121,25,0
2022-11-23,15.961,30,0
2022-11-24,15.42,29,0
2022-11-25,15.308,34,0
2022-11-26,15.779,51,0
2022-11-27,15.935,41,0
2022-11-28,16.844,25,0
2022-11-29,16.119,23,0
2022-11-30,16.394,39,0
2022-12-01,17.24,24,0
2022-12-02,18.054,37,0
2022-12-03,17.562,27,0
2022-12-04,17.871,26,0
2022-12-05,17.532,32,0
2022-12-06,17.757,44,0
2022-12-07,17.82,38,0
2022-12-08,17.399,36,0
2022-12-09,17.646,28,0
2022-12-10,17.198,38,0
2022-12-11,16.969,45,0
2022-12-12,17.58,22,0
2022-12-13,17.009,23,0
2022-12-14,16.699,43,0
2022-12-15,16.335,30,0
2022-12-16,16.609,33,0
2022-12-17,15.976,41,0
2022-12-18,17.44,31,0
2022-12-19,16.372,42,0
2022-12-20,16.092,25,0
2022-12-21,16.276,48,0
2022-12-22,16.636,41,0
2022-12-23,16.128,33,0
2022-12-24,16.262,51,0
2022-12-25,15.991,56,0
2022-12-26,15.628,48,0
2022-12-27,15.366,51,0
2022-12-28,15.574,48,0
2022-12-29,15.268,36,0
2022-12-30,15.324,42,0
2022-12-31,15.517,47,0
2023-01-01,15.192,56,0
2023-01-02,15.347,48,0
2023-01-03,15.204,42,0
2023-01-04,15.197,37,0
2023-01-05,14.999,45,0
2023-01-06,15.762,30,0
2023-01-07,15.245,58,0
2023-01-08,15.238,49,0
2023-01-09,15.498,49,0
2023-01-10,15.552,46,0
2023-01-11,15.649,57,0
2023-01-12,15.902,38,0
2023-01-13,16.195,47,0
2023-01-14,16.31,49,0
2023-01-15,16.559,47,0
2023-01-16,15.961,40,0
2023-01-17,16.454,42,0
2023-01-18,16.126,39,0
