date,price,volume,afterUpdate
2021-09-22,102.648,11,0
2021-09-23,126.077,6,0
2021-09-24,125.142,7,0
2021-09-25,133.019,3,0
2021-09-26,131.08,8,0
2021-09-27,149.085,2,0
2021-09-28,134.433,8,0
2021-09-29,134.604,5,0
2021-09-30,143.765,7,0
2021-10-01,138.99,6,0
2021-10-02,152.448,9,0
2021-10-03,151.989,6,0
2021-10-04,165.928,2,0
2021-10-05,145.706,4,0
2021-10-06,139.685,2,0
2021-10-07,148.255,5,0
2021-10-08,143.412,6,0
2021-10-09,142.349,5,0
2021-10-10,134.0,1,0
2021-10-11,154.478,4,0
2021-10-12,139.588,5,0
2021-10-13,138.133,3,0
2021-10-14,142.262,4,0
2021-10-15,159.158,3,0
2021-10-16,139.12,4,0
2021-10-17,137.01,2,0
2021-10-19,157.187,3,0
2021-10-22,156.027,2,0
2021-10-23,169.973,3,0
2021-10-25,141.18,1,0
2021-10-26,146.572,7,0
2021-10-27,141.571,4,0
2021-10-28,152.205,3,0
2021-10-30,148.325,4,0
2021-10-31,131.688,1,0
2021-11-01,151.59,1,0
2021-11-02,150.264,3,0
2021-11-03,134.442,6,0
2021-11-04,95.582,3,0
2021-11-05,133.589,8,0
2021-11-06,130.828,2,0
2021-11-07,135.81,3,0
2021-11-08,147.524,2,0
2021-11-09,145.602,3,0
2021-11-10,137.498,1,0
2021-11-11,133.41,3,0
2021-11-12,128.97,1,0
2021-11-13,139.52,3,0
2021-11-14,126.92,2,0
2021-11-15,136.643,2,0
2021-11-17,132.079,2,0
2021-11-18,134.131,3,0
2021-11-19,122.75,1,0
2021-11-20,122.473,2,0
2021-11-21,129.193,3,0
2021-11-22,129.239,4,0
2021-11-23,124.977,2,0
2021-11-24,120.06,1,0
2021-11-25,142.457,4,0
2021-11-26,122.275,2,0
2021-11-27,130.188,3,0
2021-11-28,130.47,3,0
2021-11-29,134.928,2,0
2021-11-30,134.808,3,0
2021-12-01,151.532,2,0
2021-12-02,126.199,7,0
2021-12-03,114.425,2,0
2021-12-04,127.395,3,0
2021-12-05,138.618,2,0
2021-12-06,135.243,3,0
2021-12-07,133.827,3,0
2021-12-08,147.444,2,0
2021-12-09,127.78,1,0
2021-12-10,139.216,4,0
2021-12-11,128.395,2,0
2021-12-12,128.6,1,0
2021-12-13,141.613,2,0
2021-12-14,124.419,3,0
2021-12-15,126.35,2,0
2021-12-17,129.968,1,0
2021-12-18,143.66,1,0
2021-12-19,135.717,3,0
2021-12-20,119.0,1,0
2021-12-21,133.043,2,0
2021-12-22,118.375,2,0
2021-12-23,128.949,6,0
2021-12-24,125.075,3,0
2021-12-25,137.415,5,0
2021-12-26,130.255,2,0
2021-12-27,142.629,4,0
2021-12-28,151.269,3,0
2021-12-29,138.59,2,0
2021-12-30,179.982,1,0
2021-12-31,155.875,2,0
2022-01-01,132.45,1,0
2022-01-02,135.905,2,0
2022-01-04,145.253,3,0
2022-01-05,146.139,6,0
2022-01-06,160.576,3,0
2022-01-08,143.881,5,0
2022-01-09,135.205,2,0
2022-01-10,135.84,1,0
2022-01-11,125.135,2,0
2022-01-13,160.19,4,0
2022-01-14,140.78,1,0
2022-01-15,161.886,1,0
2022-01-16,161.931,1,0
2022-01-17,165.961,4,0
2022-01-18,162.217,1,0
2022-01-19,150.645,2,0
2022-01-20,140.71,2,0
2022-01-21,139.087,5,0
2022-01-22,143.0,3,0
2022-01-23,137.742,3,0
2022-01-24,142.891,4,0
2022-01-25,137.212,2,0
2022-01-26,133.586,5,0
2022-01-27,127.13,1,0
2022-01-28,133.177,2,0
2022-01-29,146.053,2,0
2022-01-30,126.379,8,0
2022-01-31,132.895,4,0
2022-02-01,132.125,5,0
2022-02-02,125.728,3,0
2022-02-03,127.519,4,0
2022-02-04,137.482,2,0
2022-02-05,141.996,2,0
2022-02-06,130.755,5,0
2022-02-07,135.39,5,0
2022-02-08,147.112,2,0
2022-02-09,136.73,2,0
2022-02-10,126.89,3,0
2022-02-11,135.25,5,0
2022-02-12,131.016,5,0
2022-02-13,134.036,4,0
2022-02-14,146.149,3,0
2022-02-15,130.427,2,0
2022-02-16,138.673,4,0
2022-02-17,131.43,3,0
2022-02-18,145.78,2,0
2022-02-19,130.463,1,0
2022-02-20,120.0,1,0
2022-02-22,113.826,4,0
2022-02-23,123.895,2,0
2022-02-24,129.666,4,0
2022-02-25,127.815,4,0
2022-02-26,137.553,5,0
2022-02-27,133.544,4,0
2022-02-28,124.835,2,0
2022-03-01,135.397,3,0
2022-03-02,110.0,1,0
2022-03-04,137.223,5,0
2022-03-05,135.867,4,0
2022-03-06,129.748,6,0
2022-03-07,139.392,4,0
2022-03-08,137.491,5,0
2022-03-09,131.274,4,0
2022-03-10,135.734,5,0
2022-03-11,142.968,3,0
2022-03-12,146.206,6,0
2022-03-13,146.375,2,0
2022-03-14,133.29,2,0
2022-03-16,154.685,5,0
2022-03-17,130.737,2,0
2022-03-18,136.302,3,0
2022-03-19,132.959,6,0
2022-03-20,153.172,1,0
2022-03-21,138.786,3,0
2022-03-22,133.171,3,0
2022-03-23,126.887,1,0
2022-03-24,140.243,3,0
2022-03-25,142.904,6,0
2022-03-26,131.0,1,0
2022-03-27,135.87,4,0
2022-03-28,131.199,2,0
2022-03-29,138.579,9,0
2022-03-30,142.549,3,0
2022-03-31,140.916,6,0
2022-04-01,143.095,3,0
2022-04-02,136.263,3,0
2022-04-03,140.567,5,0
2022-04-04,135.55,1,0
2022-04-05,159.168,2,0
2022-04-06,143.628,2,0
2022-04-07,149.134,3,0
2022-04-08,153.598,4,0
2022-04-09,148.259,2,0
2022-04-10,139.817,1,0
2022-04-11,151.355,3,0
2022-04-12,143.261,4,0
2022-04-14,137.168,3,0
2022-04-15,148.559,4,0
2022-04-16,138.636,4,0
2022-04-17,136.466,5,0
2022-04-18,138.251,4,0
2022-04-19,136.67,3,0
2022-04-20,146.574,3,0
2022-04-22,134.65,4,0
2022-04-23,152.664,3,0
2022-04-24,151.309,2,0
2022-04-25,154.579,1,0
2022-04-27,154.658,2,0
2022-04-28,132.45,2,0
2022-04-29,158.588,3,0
2022-04-30,154.752,4,0
2022-05-01,130.686,4,0
2022-05-02,145.689,5,0
2022-05-03,146.51,2,0
2022-05-04,134.456,3,0
2022-05-05,142.523,1,0
2022-05-06,147.1,1,0
2022-05-07,132.602,3,0
2022-05-08,138.32,1,0
2022-05-09,147.586,1,0
2022-05-10,133.517,3,0
2022-05-11,130.863,2,0
2022-05-12,152.583,4,0
2022-05-13,149.907,2,0
2022-05-14,133.797,3,0
2022-05-15,154.848,2,0
2022-05-16,154.49,2,0
2022-05-17,128.032,5,0
2022-05-18,111.37,1,0
2022-05-19,130.853,3,0
2022-05-20,133.092,4,0
2022-05-21,133.82,4,0
2022-05-22,119.631,3,0
2022-05-23,127.399,5,0
2022-05-24,127.008,3,0
2022-05-25,136.837,4,0
2022-05-26,135.389,4,0
2022-05-27,130.51,5,0
2022-05-28,138.04,1,0
2022-05-30,134.37,2,0
2022-05-31,134.45,4,0
2022-06-01,147.013,2,0
2022-06-02,140.278,3,0
2022-06-03,122.703,5,0
2022-06-04,121.27,2,0
2022-06-05,137.66,3,0
2022-06-06,134.34,4,0
2022-06-07,138.622,1,0
2022-06-08,135.279,4,0
2022-06-09,136.351,2,0
2022-06-10,139.926,2,0
2022-06-11,135.694,3,0
2022-06-12,145.004,1,0
2022-06-13,122.899,3,0
2022-06-14,127.39,4,0
2022-06-16,121.852,6,0
2022-06-17,129.587,5,0
2022-06-18,126.012,2,0
2022-06-19,117.66,1,0
2022-06-20,130.797,3,0
2022-06-21,138.556,1,0
2022-06-22,125.751,4,0
2022-06-23,139.264,2,0
2022-06-24,114.03,5,0
2022-06-25,118.655,4,0
2022-06-26,116.905,3,0
2022-06-27,109.478,2,0
2022-06-28,130.711,2,0
2022-06-29,122.373,3,0
2022-06-30,126.49,4,0
2022-07-01,114.61,1,0
2022-07-02,120.155,6,0
2022-07-03,124.848,4,0
2022-07-04,118.515,4,0
2022-07-05,118.473,6,0
2022-07-06,113.522,6,0
2022-07-07,117.217,7,0
2022-07-08,118.164,2,0
2022-07-09,114.103,3,0
2022-07-10,116.56,2,0
2022-07-11,122.313,3,0
2022-07-12,127.206,3,0
2022-07-13,114.931,1,0
2022-07-14,117.318,4,0
2022-07-15,121.643,7,0
