date,price,volume,afterUpdate
2021-09-22,112.774,2,0
2021-09-23,174.225,3,0
2021-09-24,164.175,3,0
2021-09-25,148.005,4,0
2021-09-26,183.511,3,0
2021-09-27,180.721,3,0
2021-09-28,181.458,3,0
2021-09-29,164.994,6,0
2021-09-30,218.734,2,0
2021-10-02,179.945,2,0
2021-10-04,176.205,3,0
2021-10-05,186.763,2,0
2021-10-07,204.169,4,0
2021-10-09,177.21,1,0
2021-10-10,211.6,4,0
2021-10-11,189.611,2,0
2021-10-12,176.0,1,0
2021-10-14,154.99,1,0
2021-10-15,169.785,3,0
2021-10-16,162.379,1,0
2021-10-17,172.149,3,0
2021-10-18,189.995,1,0
2021-10-19,175.46,2,0
2021-10-20,167.572,2,0
2021-10-21,190.729,3,0
2021-10-23,181.136,2,0
2021-10-26,162.012,1,0
2021-10-27,159.54,1,0
2021-10-28,169.013,2,0
2021-10-29,196.288,2,0
2021-10-30,161.488,2,0
2021-10-31,196.491,1,0
2021-11-01,211.602,1,0
2021-11-02,200.008,1,0
2021-11-05,166.155,7,0
2021-11-06,177.786,2,0
2021-11-07,162.058,1,0
2021-11-08,188.772,2,0
2021-11-09,198.811,1,0
2021-11-10,170.433,2,0
2021-11-11,162.09,1,0
2021-11-13,160.01,1,0
2021-11-14,135.022,1,0
2021-11-15,124.238,2,0
2021-11-17,134.656,3,0
2021-11-18,169.945,3,0
2021-11-20,159.945,4,0
2021-11-21,164.307,3,0
2021-11-22,150.856,5,0
2021-11-23,153.417,3,0
2021-11-24,156.285,2,0
2021-11-25,187.39,2,0
2021-11-27,172.26,2,0
2021-11-28,152.22,1,0
2021-11-29,161.487,2,0
2021-11-30,171.068,2,0
2021-12-03,192.63,1,0
2021-12-04,189.946,1,0
2021-12-05,163.056,4,0
2021-12-06,189.99,2,0
2021-12-07,190.72,1,0
2021-12-09,160.13,1,0
2021-12-10,166.48,2,0
2021-12-12,159.18,1,0
2021-12-13,156.155,4,0
2021-12-14,158.598,3,0
2021-12-15,180.338,2,0
2021-12-17,192.053,2,0
2021-12-19,193.451,2,0
2021-12-20,170.288,2,0
2021-12-21,198.765,1,0
2021-12-23,161.73,2,0
2021-12-24,174.169,2,0
2021-12-25,195.753,1,0
2021-12-27,187.88,1,0
2021-12-28,160.465,2,0
2021-12-29,172.226,3,0
2021-12-30,192.607,1,0
2021-12-31,176.61,3,0
2022-01-01,173.071,3,0
2022-01-02,169.619,2,0
2022-01-03,200.006,1,0
2022-01-04,192.167,1,0
2022-01-05,198.204,3,0
2022-01-07,195.088,1,0
2022-01-08,180.961,4,0
2022-01-09,172.92,1,0
2022-01-10,192.12,4,0
2022-01-11,218.278,2,0
2022-01-12,181.805,5,0
2022-01-16,177.74,1,0
2022-01-17,187.773,3,0
2022-01-19,189.026,5,0
2022-01-20,174.632,2,0
2022-01-21,160.887,5,0
2022-01-22,181.399,3,0
2022-01-23,177.778,7,0
2022-01-24,168.609,1,0
2022-01-26,162.851,3,0
2022-01-27,181.747,1,0
2022-01-28,161.03,4,0
2022-01-29,153.286,1,0
2022-01-30,157.799,4,0
2022-01-31,165.02,3,0
2022-02-01,153.61,1,0
2022-02-02,153.61,1,0
2022-02-03,162.468,2,0
2022-02-04,161.728,2,0
2022-02-06,174.803,2,0
2022-02-07,164.47,4,0
2022-02-08,193.612,1,0
2022-02-10,160.033,4,0
2022-02-11,165.87,6,0
2022-02-12,185.656,1,0
2022-02-13,189.245,2,0
2022-02-14,162.492,3,0
2022-02-15,169.201,3,0
2022-02-17,158.597,1,0
2022-02-18,165.326,4,0
2022-02-19,156.083,2,0
2022-02-20,160.623,5,0
2022-02-21,162.94,3,0
2022-02-22,175.83,1,0
2022-02-23,153.54,2,0
2022-02-24,168.865,2,0
2022-02-26,160.529,2,0
2022-02-27,152.935,2,0
2022-02-28,152.782,5,0
2022-03-01,172.407,1,0
2022-03-02,158.871,4,0
2022-03-03,164.855,2,0
2022-03-05,172.954,2,0
2022-03-06,180.032,3,0
2022-03-07,146.493,2,0
2022-03-08,157.16,2,0
