date,price,volume,afterUpdate,is_synth,item_id
2022-01-21,175.552,74.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-01-22,149.431,82.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-01-23,134.753,71.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-01-24,116.327,58.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-01-25,111.96,44.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-01-26,110.171,70.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-01-27,115.078,55.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-01-28,111.929,70.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-01-29,100.209,57.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-01-30,87.758,50.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-01-31,81.98,77.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-01,82.7,74.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-02,88.321,46.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-03,92.283,61.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-04,90.059,69.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-05,85.723,55.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-06,89.981,72.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-07,88.501,41.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-08,88.544,52.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-09,81.445,62.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-10,75.814,64.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-11,78.814,56.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-12,80.988,63.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-13,83.374,55.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-14,77.126,52.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-15,81.266,50.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-16,81.555,50.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-17,81.884,67.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-18,80.063,62.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-19,79.3,77.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-20,81.288,72.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-21,81.249,42.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-22,81.567,58.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-23,83.867,56.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-24,83.552,63.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-25,82.925,55.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-26,80.563,53.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-27,82.357,68.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-02-28,81.919,60.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-01,85.209,52.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-02,82.464,53.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-03,83.361,48.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-04,83.213,63.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-05,86.955,55.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-06,87.199,81.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-07,88.784,51.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-08,85.651,65.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-09,83.878,66.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-10,85.329,57.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-11,89.776,67.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-12,92.975,53.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-13,91.918,68.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-14,87.185,52.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-15,94.613,56.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-16,87.864,49.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-17,87.16,55.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-18,85.473,64.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-19,87.077,54.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-20,87.568,64.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-21,86.428,74.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-22,84.175,61.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-23,81.933,86.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-24,82.028,73.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-25,83.252,77.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-26,82.563,80.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-27,82.504,58.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-28,81.457,53.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-29,78.326,72.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-30,74.968,74.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-03-31,74.139,71.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-01,73.282,77.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-02,75.598,65.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-03,77.141,67.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-04,79.534,64.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-05,79.724,62.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-06,79.675,47.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-07,79.6,64.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-08,78.694,66.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-09,79.642,72.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-10,79.536,48.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-11,78.951,51.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-12,78.784,44.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-13,78.481,49.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-14,80.43,64.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-15,79.363,60.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-16,77.746,42.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-17,79.471,50.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-18,79.846,54.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-19,77.573,48.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-20,76.772,54.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-21,79.575,46.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-22,79.104,50.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-23,79.561,45.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-24,78.885,46.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-25,79.113,46.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-26,78.186,66.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-27,76.073,67.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-28,73.8,59.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-29,71.29,78.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-04-30,71.567,75.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-01,71.166,72.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-02,68.847,59.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-03,72.079,57.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-04,64.863,115.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-05,60.818,72.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-06,61.699,75.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-07,61.613,83.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-08,60.88,71.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-09,59.545,70.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-10,58.739,66.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-11,59.557,62.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-12,60.278,70.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-13,60.305,65.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-14,60.867,70.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-15,63.046,71.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-16,61.944,71.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-17,61.238,57.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-18,60.992,65.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-19,60.469,72.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-20,60.179,68.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-21,58.247,76.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-22,56.979,73.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-23,57.407,78.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-24,54.518,80.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-25,55.386,72.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-26,53.729,77.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-27,52.013,67.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-28,52.824,66.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-29,52.999,84.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-30,53.329,78.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-05-31,55.614,77.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-01,55.754,85.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-02,56.756,61.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-03,55.191,103.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-04,55.195,110.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-05,54.865,77.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-06,53.71,77.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-07,53.506,88.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-08,54.207,87.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-09,53.29,96.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-10,52.761,65.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-11,51.982,86.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-12,52.025,80.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-13,51.49,69.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-14,50.148,71.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-15,49.023,95.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-16,47.797,101.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-17,47.451,80.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-18,47.149,97.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-19,47.058,81.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-20,45.319,75.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-21,44.326,80.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-22,44.786,86.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-23,44.185,79.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-24,42.923,99.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-25,42.967,104.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-26,42.418,107.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-27,41.906,101.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-28,41.033,89.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-29,40.997,79.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-06-30,42.362,87.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-01,43.427,127.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-02,41.535,157.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-03,41.824,115.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-04,42.936,90.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-05,42.567,117.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-06,41.691,110.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-07,42.115,94.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-08,43.002,99.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-09,43.491,111.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-10,44.284,109.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-11,43.819,96.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-12,43.925,102.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-13,44.658,61.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-14,42.555,97.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-15,42.414,84.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-16,43.587,110.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-17,43.707,89.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-18,43.039,94.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-19,43.672,96.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-20,45.027,44.0,0,0,AK-47 - Nightwish (Field-Tested)
2022-07-21,43.518,111.0,0,0,AK-47 - Nightwish (Field-Tested)
